invoice_no,invoice_date,customer_id,customer_name,state,sku_id,product_name,abc_class,qty,unit,rate_inr,taxable_value_inr,gst_pct,gst_amount_inr,total_inr,payment_status
INV-2022-00055,10-11-2022,CUST-010,MP Modular Traders,Madhya Pradesh,AAT-001,Aata Basket,C,111,Pcs,227.24,25223.64,28,7062.62,32286.26,Paid
INV-2022-00056,21-11-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,MGC-001,Magic Corner,C,110,Pcs,4359.78,479575.8,28,134281.22,613857.02,Overdue
INV-2022-00057,19-11-2022,CUST-001,Agarwal Home Solutions,Maharashtra,CS-001,Cup & Saucer,B,71,Set,93.28,6622.88,18,1192.12,7815,Overdue
INV-2022-00058,27-11-2022,CUST-003,South India Hardware,Tamil Nadu,RSH-001,Rolling Shutter,C,97,Pcs,1776.52,172322.44,28,48250.28,220572.72,Overdue
INV-2022-00059,01-11-2022,CUST-004,Gujarat Kitchen World,Gujarat,BPO-001,Bottle Pull Out,A,66,Pcs,178.55,11784.3,18,2121.17,13905.47,Paid
INV-2022-00060,14-11-2022,CUST-004,Gujarat Kitchen World,Gujarat,AAT-001,Aata Basket,C,74,Pcs,225.33,16674.42,28,4668.84,21343.26,Pending
INV-2022-00061,17-11-2022,CUST-003,South India Hardware,Tamil Nadu,TBW-001,Thali Basket Wire,A,36,Pcs,322.96,11626.56,18,2092.78,13719.34,Pending
INV-2022-00062,06-11-2022,CUST-006,Rajasthan Home Mart,Rajasthan,RSH-001,Rolling Shutter,C,68,Pcs,1860.93,126543.24,28,35432.11,161975.35,Paid
INV-2022-00063,20-11-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,TNB-001,Tandum Basket,B,71,Pcs,668.75,47481.25,18,8546.62,56027.87,Paid
INV-2022-00064,10-11-2022,CUST-009,Chandigarh Kitchens,Punjab,GTP-001,GTPT,B,38,Pcs,435.08,16533.04,18,2975.95,19508.99,Paid
INV-2022-00065,23-11-2022,CUST-004,Gujarat Kitchen World,Gujarat,HNG-001,Hinges,B,100,Pcs,45.19,4519,18,813.42,5332.42,Pending
INV-2022-00066,26-11-2022,CUST-009,Chandigarh Kitchens,Punjab,TNB-001,Tandum Basket,B,102,Pcs,672.62,68607.24,18,12349.3,80956.54,Paid
INV-2022-00067,27-11-2022,CUST-007,Bengal Furniture House,West Bengal,RSH-001,Rolling Shutter,C,54,Pcs,1866.28,100779.12,28,28218.15,128997.27,Paid
INV-2022-00068,10-11-2022,CUST-001,Agarwal Home Solutions,Maharashtra,HNG-001,Hinges,B,101,Pcs,43.9,4433.9,18,798.1,5232,Pending
INV-2022-00069,07-11-2022,CUST-008,Hyderabad Retail Hub,Telangana,GTP-001,GTPT,B,35,Pcs,431.74,15110.9,18,2719.96,17830.86,Paid
INV-2022-00070,04-11-2022,CUST-003,South India Hardware,Tamil Nadu,GTP-001,GTPT,B,88,Pcs,429.18,37767.84,18,6798.21,44566.05,Paid
INV-2022-00071,22-11-2022,CUST-001,Agarwal Home Solutions,Maharashtra,CS-001,Cup & Saucer,B,77,Set,93.65,7211.05,18,1297.99,8509.04,Paid
INV-2022-00072,14-11-2022,CUST-002,Sharma Modular Kitchens,Delhi,TBW-001,Thali Basket Wire,A,52,Pcs,326.47,16976.44,18,3055.76,20032.2,Paid
INV-2022-00073,18-11-2022,CUST-001,Agarwal Home Solutions,Maharashtra,TBP-001,Thali Basket Pipe,A,30,Pcs,379.42,11382.6,18,2048.87,13431.47,Pending
INV-2022-00074,25-11-2022,CUST-004,Gujarat Kitchen World,Gujarat,MGC-001,Magic Corner,C,46,Pcs,4168.42,191747.32,28,53689.25,245436.57,Paid
INV-2022-00075,08-11-2022,CUST-010,MP Modular Traders,Madhya Pradesh,PBW-001,Plate Basket Wire,A,78,Pcs,286.08,22314.24,18,4016.56,26330.8,Paid
INV-2022-00076,27-11-2022,CUST-007,Bengal Furniture House,West Bengal,PBP-001,Plate Basket Pipe,A,32,Pcs,352.03,11264.96,18,2027.69,13292.65,Paid
INV-2022-00077,06-11-2022,CUST-008,Hyderabad Retail Hub,Telangana,RSH-001,Rolling Shutter,C,105,Pcs,1867.23,196059.15,28,54896.56,250955.71,Paid
INV-2022-00078,10-11-2022,CUST-001,Agarwal Home Solutions,Maharashtra,TBW-001,Thali Basket Wire,A,82,Pcs,323.9,26559.8,18,4780.76,31340.56,Paid
INV-2022-00079,21-11-2022,CUST-008,Hyderabad Retail Hub,Telangana,HNG-001,Hinges,B,79,Pcs,45.3,3578.7,18,644.17,4222.87,Paid
INV-2022-00080,07-11-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,CHM-001,Chimney,C,113,Pcs,3422.6,386753.8,28,108291.06,495044.86,Paid
INV-2022-00081,23-11-2022,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,CHM-001,Chimney,C,33,Pcs,3398.45,112148.85,28,31401.68,143550.53,Paid
INV-2022-00082,22-11-2022,CUST-010,MP Modular Traders,Madhya Pradesh,HNG-001,Hinges,B,106,Pcs,44.26,4691.56,18,844.48,5536.04,Overdue
INV-2022-00083,17-11-2022,CUST-007,Bengal Furniture House,West Bengal,RSH-001,Rolling Shutter,C,51,Pcs,1756.93,89603.43,28,25088.96,114692.39,Paid
INV-2022-00084,16-11-2022,CUST-003,South India Hardware,Tamil Nadu,PBP-001,Plate Basket Pipe,A,51,Pcs,352.07,17955.57,18,3232,21187.57,Paid
INV-2022-00085,15-12-2022,CUST-004,Gujarat Kitchen World,Gujarat,RSH-001,Rolling Shutter,C,106,Pcs,1779.64,188641.84,28,52819.72,241461.56,Paid
INV-2022-00086,24-12-2022,CUST-010,MP Modular Traders,Madhya Pradesh,HNG-001,Hinges,B,83,Pcs,43.69,3626.27,18,652.73,4279,Paid
INV-2022-00087,22-12-2022,CUST-001,Agarwal Home Solutions,Maharashtra,CS-001,Cup & Saucer,B,25,Set,95.24,2381,18,428.58,2809.58,Paid
INV-2022-00088,23-12-2022,CUST-009,Chandigarh Kitchens,Punjab,RSH-001,Rolling Shutter,C,108,Pcs,1785.18,192799.44,28,53983.84,246783.28,Paid
INV-2022-00089,20-12-2022,CUST-006,Rajasthan Home Mart,Rajasthan,HNG-001,Hinges,B,38,Pcs,44.34,1684.92,18,303.29,1988.21,Paid
INV-2022-00090,15-12-2022,CUST-003,South India Hardware,Tamil Nadu,MGC-001,Magic Corner,C,105,Pcs,4364.72,458295.6,28,128322.77,586618.37,Paid
INV-2022-00091,16-12-2022,CUST-009,Chandigarh Kitchens,Punjab,AAT-001,Aata Basket,C,106,Pcs,221.68,23498.08,28,6579.46,30077.54,Paid
INV-2022-00092,28-12-2022,CUST-010,MP Modular Traders,Madhya Pradesh,CS-001,Cup & Saucer,B,110,Set,92.69,10195.9,18,1835.26,12031.16,Pending
INV-2022-00093,19-12-2022,CUST-002,Sharma Modular Kitchens,Delhi,TNB-001,Tandum Basket,B,24,Pcs,662.54,15900.96,18,2862.17,18763.13,Overdue
INV-2022-00094,18-12-2022,CUST-010,MP Modular Traders,Madhya Pradesh,PNT-001,Pantry,B,29,Pcs,2159.34,62620.86,18,11271.75,73892.61,Overdue
INV-2022-00095,22-12-2022,CUST-002,Sharma Modular Kitchens,Delhi,CHM-001,Chimney,C,36,Pcs,3570.64,128543.04,28,35992.05,164535.09,Pending
INV-2022-00096,15-12-2022,CUST-009,Chandigarh Kitchens,Punjab,PBW-001,Plate Basket Wire,A,113,Pcs,272.69,30813.97,18,5546.51,36360.48,Paid
INV-2022-00097,19-12-2022,CUST-008,Hyderabad Retail Hub,Telangana,AAT-001,Aata Basket,C,17,Pcs,222.01,3774.17,28,1056.77,4830.94,Paid
INV-2022-00098,09-12-2022,CUST-007,Bengal Furniture House,West Bengal,SC-001,Sheet Cutlery,A,114,Set,436.59,49771.26,18,8958.83,58730.09,Paid
INV-2022-00099,14-12-2022,CUST-001,Agarwal Home Solutions,Maharashtra,PBW-001,Plate Basket Wire,A,54,Pcs,285.33,15407.82,18,2773.41,18181.23,Overdue
INV-2022-00100,16-12-2022,CUST-002,Sharma Modular Kitchens,Delhi,TBW-001,Thali Basket Wire,A,14,Pcs,316.83,4435.62,18,798.41,5234.03,Paid
INV-2022-00101,12-12-2022,CUST-007,Bengal Furniture House,West Bengal,TBP-001,Thali Basket Pipe,A,58,Pcs,380.53,22070.74,18,3972.73,26043.47,Pending
INV-2022-00102,22-12-2022,CUST-002,Sharma Modular Kitchens,Delhi,RSH-001,Rolling Shutter,C,94,Pcs,1856.19,174481.86,28,48854.92,223336.78,Paid
INV-2022-00103,06-12-2022,CUST-002,Sharma Modular Kitchens,Delhi,TNB-001,Tandum Basket,B,78,Pcs,678.31,52908.18,18,9523.47,62431.65,Paid
INV-2022-00104,25-12-2022,CUST-001,Agarwal Home Solutions,Maharashtra,CS-001,Cup & Saucer,B,12,Set,98.66,1183.92,18,213.11,1397.03,Pending
INV-2022-00105,13-12-2022,CUST-009,Chandigarh Kitchens,Punjab,AAT-001,Aata Basket,C,115,Pcs,216.94,24948.1,28,6985.47,31933.57,Pending
INV-2022-00106,09-12-2022,CUST-003,South India Hardware,Tamil Nadu,TNB-001,Tandum Basket,B,34,Pcs,704.22,23943.48,18,4309.83,28253.31,Paid
INV-2022-00107,20-12-2022,CUST-007,Bengal Furniture House,West Bengal,TBW-001,Thali Basket Wire,A,108,Pcs,331.37,35787.96,18,6441.83,42229.79,Paid
INV-2022-00108,03-12-2022,CUST-004,Gujarat Kitchen World,Gujarat,CS-001,Cup & Saucer,B,22,Set,96.1,2114.2,18,380.56,2494.76,Pending
INV-2022-00109,24-12-2022,CUST-004,Gujarat Kitchen World,Gujarat,TBW-001,Thali Basket Wire,A,15,Pcs,319.41,4791.15,18,862.41,5653.56,Paid
INV-2022-00110,05-12-2022,CUST-001,Agarwal Home Solutions,Maharashtra,PNT-001,Pantry,B,74,Pcs,2287,169238,18,30462.84,199700.84,Paid
INV-2023-00111,10-01-2023,CUST-004,Gujarat Kitchen World,Gujarat,CRO-001,Crousal,B,28,Pcs,581.84,16291.52,18,2932.47,19223.99,Overdue
INV-2023-00112,10-01-2023,CUST-007,Bengal Furniture House,West Bengal,CS-001,Cup & Saucer,B,45,Set,92.56,4165.2,18,749.74,4914.94,Overdue
INV-2023-00113,18-01-2023,CUST-007,Bengal Furniture House,West Bengal,PBP-001,Plate Basket Pipe,A,73,Pcs,330.92,24157.16,18,4348.29,28505.45,Paid
INV-2023-00114,11-01-2023,CUST-009,Chandigarh Kitchens,Punjab,RSH-001,Rolling Shutter,C,99,Pcs,1798.46,178047.54,28,49853.31,227900.85,Paid
INV-2023-00115,06-01-2023,CUST-007,Bengal Furniture House,West Bengal,HNG-001,Hinges,B,106,Pcs,45.34,4806.04,18,865.09,5671.13,Paid
INV-2023-00116,28-01-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,CS-001,Cup & Saucer,B,100,Set,93.11,9311,18,1675.98,10986.98,Pending
INV-2023-00117,14-01-2023,CUST-009,Chandigarh Kitchens,Punjab,TBW-001,Thali Basket Wire,A,63,Pcs,322.88,20341.44,18,3661.46,24002.9,Paid
INV-2023-00118,09-01-2023,CUST-004,Gujarat Kitchen World,Gujarat,RSH-001,Rolling Shutter,C,36,Pcs,1787.61,64353.96,28,18019.11,82373.07,Paid
INV-2023-00119,03-01-2023,CUST-006,Rajasthan Home Mart,Rajasthan,CHM-001,Chimney,C,78,Pcs,3572.52,278656.56,28,78023.84,356680.4,Paid
INV-2023-00120,13-01-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,TBW-001,Thali Basket Wire,A,96,Pcs,323.95,31099.2,18,5597.86,36697.06,Paid
INV-2023-00121,26-01-2023,CUST-004,Gujarat Kitchen World,Gujarat,PBW-001,Plate Basket Wire,A,107,Pcs,283.12,30293.84,18,5452.89,35746.73,Overdue
INV-2023-00122,07-01-2023,CUST-008,Hyderabad Retail Hub,Telangana,PNT-001,Pantry,B,52,Pcs,2180.69,113395.88,18,20411.26,133807.14,Paid
INV-2023-00123,24-01-2023,CUST-004,Gujarat Kitchen World,Gujarat,PNT-001,Pantry,B,25,Pcs,2249.02,56225.5,18,10120.59,66346.09,Pending
INV-2023-00124,23-01-2023,CUST-010,MP Modular Traders,Madhya Pradesh,CS-001,Cup & Saucer,B,36,Set,94.79,3412.44,18,614.24,4026.68,Paid
INV-2023-00125,13-01-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,CRO-001,Crousal,B,69,Pcs,564.12,38924.28,18,7006.37,45930.65,Paid
INV-2023-00126,12-01-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,HNG-001,Hinges,B,75,Pcs,46.43,3482.25,18,626.8,4109.05,Pending
INV-2023-00127,25-01-2023,CUST-008,Hyderabad Retail Hub,Telangana,BPO-001,Bottle Pull Out,A,117,Pcs,178.63,20899.71,18,3761.95,24661.66,Paid
INV-2023-00128,14-01-2023,CUST-006,Rajasthan Home Mart,Rajasthan,TNB-001,Tandum Basket,B,15,Pcs,686.38,10295.7,18,1853.23,12148.93,Paid
INV-2023-00129,09-01-2023,CUST-001,Agarwal Home Solutions,Maharashtra,TBP-001,Thali Basket Pipe,A,80,Pcs,393.46,31476.8,18,5665.82,37142.62,Overdue
INV-2023-00130,05-01-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,AAT-001,Aata Basket,C,35,Pcs,218.48,7646.8,28,2141.1,9787.9,Pending
INV-2023-00131,18-01-2023,CUST-008,Hyderabad Retail Hub,Telangana,CS-001,Cup & Saucer,B,93,Set,98.42,9153.06,18,1647.55,10800.61,Paid
INV-2023-00132,24-01-2023,CUST-008,Hyderabad Retail Hub,Telangana,GTP-001,GTPT,B,92,Pcs,429.14,39480.88,18,7106.56,46587.44,Pending
INV-2023-00133,06-01-2023,CUST-006,Rajasthan Home Mart,Rajasthan,PBP-001,Plate Basket Pipe,A,27,Pcs,346.94,9367.38,18,1686.13,11053.51,Pending
INV-2023-00134,21-01-2023,CUST-009,Chandigarh Kitchens,Punjab,PBP-001,Plate Basket Pipe,A,17,Pcs,342.27,5818.59,18,1047.35,6865.94,Paid
INV-2023-00135,14-01-2023,CUST-001,Agarwal Home Solutions,Maharashtra,TBW-001,Thali Basket Wire,A,27,Pcs,329.27,8890.29,18,1600.25,10490.54,Paid
INV-2023-00136,01-01-2023,CUST-003,South India Hardware,Tamil Nadu,PBW-001,Plate Basket Wire,A,37,Pcs,281.51,10415.87,18,1874.86,12290.73,Paid
INV-2023-00137,21-01-2023,CUST-010,MP Modular Traders,Madhya Pradesh,TBW-001,Thali Basket Wire,A,95,Pcs,331.32,31475.4,18,5665.57,37140.97,Pending
INV-2023-00138,01-01-2023,CUST-001,Agarwal Home Solutions,Maharashtra,MGC-001,Magic Corner,C,78,Pcs,4236.18,330422.04,28,92518.17,422940.21,Paid
INV-2023-00139,10-02-2023,CUST-009,Chandigarh Kitchens,Punjab,GTP-001,GTPT,B,12,Pcs,422.17,5066.04,18,911.89,5977.93,Pending
INV-2023-00140,04-02-2023,CUST-002,Sharma Modular Kitchens,Delhi,PBP-001,Plate Basket Pipe,A,77,Pcs,333.34,25667.18,18,4620.09,30287.27,Paid
INV-2023-00141,09-02-2023,CUST-006,Rajasthan Home Mart,Rajasthan,GTP-001,GTPT,B,111,Pcs,419.07,46516.77,18,8373.02,54889.79,Paid
INV-2023-00142,19-02-2023,CUST-008,Hyderabad Retail Hub,Telangana,RSH-001,Rolling Shutter,C,41,Pcs,1870.77,76701.57,28,21476.44,98178.01,Paid
INV-2023-00143,21-02-2023,CUST-002,Sharma Modular Kitchens,Delhi,HNG-001,Hinges,B,119,Pcs,45.7,5438.3,18,978.89,6417.19,Paid
INV-2023-00144,13-02-2023,CUST-007,Bengal Furniture House,West Bengal,PBW-001,Plate Basket Wire,A,58,Pcs,282.43,16380.94,18,2948.57,19329.51,Paid
INV-2023-00145,03-02-2023,CUST-003,South India Hardware,Tamil Nadu,SC-001,Sheet Cutlery,A,73,Set,463.13,33808.49,18,6085.53,39894.02,Paid
INV-2023-00146,02-02-2023,CUST-009,Chandigarh Kitchens,Punjab,BPO-001,Bottle Pull Out,A,39,Pcs,177.26,6913.14,18,1244.37,8157.51,Overdue
INV-2023-00147,02-02-2023,CUST-005,Pune Interiors Pvt Ltd,Maharashtra,MGC-001,Magic Corner,C,19,Pcs,4275.22,81229.18,28,22744.17,103973.35,Paid
INV-2023-00148,28-02-2023,CUST-003,South India Hardware,Tamil Nadu,TBW-001,Thali Basket Wire,A,50,Pcs,310.75,15537.5,18,2796.75,18334.25,Paid
INV-2023-00149,03-02-2023,CUST-007,Bengal Furniture House,West Bengal,TBP-001,Thali Basket Pipe,A,48,Pcs,372.92,17900.16,18,3222.03,21122.19,Paid
INV-2023-00150,11-02-2023,CUST-009,Chandigarh Kitchens,Punjab,RSH-001,Rolling Shutter,C,59,Pcs,1841.21,108631.39,28,30416.79,139048.18,Paid
INV-2023-00151,24-02-2023,CUST-009,Chandigarh Kitchens,Punjab,PBW-001,Plate Basket Wire,A,54,Pcs,272.65,14723.1,18,2650.16,17373.26,Pending
INV-2023-00152,11-02-2023,CUST-002,Sharma Modular Kitchens,Delhi,CS-001,Cup & Saucer,B,87,Set,97.26,8461.62,18,1523.09,9984.71,Overdue
INV-2023-00153,01-02-2023,CUST-006,Rajasthan Home Mart,Rajasthan,RSH-001,Rolling Shutter,C,91,Pcs,1780.44,162020.04,28,45365.61,207385.65,Pending
INV-2023-00154,12-02-2023,CUST-004,Gujarat Kitchen World,Gujarat,MGC-001,Magic Corner,C,80,Pcs,4350.7,348056,28,97455.68,445511.68,Pending
INV-2023-00155,22-02-2023,CUST-010,MP Modular Traders,Madhya Pradesh,PBP-001,Plate Basket Pipe,A,58,Pcs,331.84,19246.72,18,3464.41,22711.13,Overdue
INV-2023-00156,23-02-2023,CUST-004,Gujarat Kitchen World,Gujarat,HNG-001,Hinges,B,19,Pcs,43.91,834.29,18,150.17,984.46,Paid
INV-2023-00157,11-03-2023,CUST-007,Bengal Furniture House,West Bengal,TBP-001,Thali Basket Pipe,A,56,Pcs,371.43,20800.08,18,3744.01,24544.09,Paid
